gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MGAT3,1412.4386184807336,-4.320277613321034,0.2750470296212436,-15.707414180296066,1.3455635820514357e-55,2.566258863688498e-51
RTKN2,5130.818043492884,-4.640307213961998,0.317510293919992,-14.614666997635322,2.2645893657889485e-48,2.1595124192163414e-44
GPM6A,1228.705888530173,-5.145635094664924,0.35997001659180966,-14.294621378146198,2.3638791958275988e-46,1.5027968007607988e-42
SERTM1,298.17214459607544,-6.886259957617047,0.545562625925858,-12.622308842968451,1.5908762069160932e-36,7.585297754575932e-33
LIMS2,1926.056842886912,-2.660278846284541,0.21466190290793444,-12.392878336802495,2.8560507096873836e-35,1.0894119827031557e-31
EMP2,31710.069198950398,-2.6718389728210563,0.2229468101026267,-11.984199153112607,4.299795502841638e-33,1.3667616638365952e-29
CNTN6,352.3602910905911,-4.393899320014294,0.37961118647782194,-11.574736141952444,5.534126013569713e-31,1.5078121618685939e-27
KANK3,495.1128290972261,-2.8483639402914935,0.2522794107653475,-11.290512894612874,1.4618114655349509e-29,3.484958533835323e-26
RP1-78O14.1,240.67217526214964,-4.394661106030279,0.38996443398274344,-11.2693895213653,1.8585401662025506e-29,3.9384531166461166e-26
GPM6B,796.2612256492438,-2.5285675290770944,0.2297753533937575,-11.004520248714327,3.6344522580672833e-28,6.931627346585923e-25
WNT3A,280.0860591039285,-5.270964487216066,0.4854622090610416,-10.85762061152179,1.8346733290647243e-27,3.180989975629311e-24
PDLIM2,1757.5389599673504,-2.20779903681898,0.20647306416847266,-10.692915541842861,1.0986209831787508e-26,1.7460749492654278e-23
ITLN2,655.8674691162901,-5.90446828912991,0.5588233780614966,-10.565893484291816,4.288650117759127e-26,6.291779618915543e-23
SLC6A13,35.46976063692877,-3.6591950583855337,0.34727962186084915,-10.53673992956526,5.849147344365798e-26,7.96820986798175e-23
GRK5,2389.9491555203654,-2.795106476567506,0.27127789217107623,-10.303480516594494,6.795709136042683e-25,8.640517642840403e-22
EDNRB,3236.387933384542,-3.288481111777963,0.321133153325777,-10.240241711954067,1.3090890720818043e-24,1.5604341739215107e-21
